2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_header_field with data[153:172]
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_header_value with data[174:210]
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_part_data with data[214:220]
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_header_field with data[264:283]
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_header_value with data[285:313]
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_part_data with data[317:323]
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_header_field with data[367:386]
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_header_value with data[388:417]
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_part_data with data[421:427]
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_header_field with data[471:490]
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_header_value with data[492:540]
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_header_field with data[542:554]
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_header_value with data[556:564]
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_part_data with data[568:5573]
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 14:56:08,618 | DEBUG | python_multipart.multipart | Calling on_end with no data
2026-05-16 14:56:08,628 | INFO | routes.report_gen |  the filetype is valid
2026-05-16 14:56:08,637 | INFO | services.validation | Starting the data validation process
2026-05-16 14:56:08,671 | INFO | services.validation | Validating dataframe not empty : passed
2026-05-16 14:56:08,678 | INFO | services.validation | checking the mandatory columns : passed
2026-05-16 14:56:08,684 | INFO | services.validation | validating the columns type : passed
2026-05-16 14:56:08,688 | INFO | services.validation | Validating the expected values : Passed
2026-05-16 14:56:08,689 | INFO | services.validation | Validating the None , Nan ,condition : Passed
2026-05-16 14:56:08,689 | INFO | services.text_Validation | started the text validation 
2026-05-16 14:56:08,689 | INFO | services.text_Validation | started the text validation : PASSED
2026-05-16 14:56:08,689 | INFO | services.KPIs_calculation | starting the Kpi calculation
2026-05-16 14:56:08,731 | INFO | services.KPIs_calculation | Kpi calculated successfully
2026-05-16 14:56:08,731 | INFO | services.data_injection | Started data injection
2026-05-16 14:56:08,779 | INFO | services.data_injection | Data injected successfull
2026-05-16 14:56:08,779 | INFO | services.storing_aggTables | storing the aggregation tables ...
2026-05-16 14:56:08,821 | INFO | services.storing_aggTables | storage of the aggregation tables : PASSED
2026-05-16 14:58:24,414 | INFO | main |  app shutting down ...
2026-05-16 14:58:27,981 | INFO | main | App starting
2026-05-16 14:58:27,982 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 16:37:53,014 | INFO | main | App starting
2026-05-16 16:37:53,016 | INFO | services.clear_storage | Deleted expired folder: c6ad91 (age: 1:39:28.797459)
2026-05-16 16:37:53,016 | INFO | services.clear_storage | Deleted expired folder: ee7b54 (age: 1:46:50.709000)
2026-05-16 16:37:53,016 | INFO | services.clear_storage | Storage cleanup done — 2 folder(s) deleted
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_header_field with data[56:75]
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_header_value with data[77:113]
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_part_data with data[117:123]
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_header_field with data[181:200]
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_header_value with data[202:238]
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_part_data with data[242:248]
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:38:50,267 | DEBUG | python_multipart.multipart | Calling on_header_field with data[306:325]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_value with data[327:355]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_part_data with data[359:365]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_field with data[423:442]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_value with data[444:473]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_part_data with data[477:483]
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:38:50,268 | DEBUG | python_multipart.multipart | Calling on_header_field with data[541:560]
